config,workload,seed,strategy,util,frag,fail,lgfr,score,hit,miss,lat_mean_ms,lat_med_ms,lat_max_ms
A-unif-s42,uniform,42,Best Fit,0.8438,0.6625,0.5134,0.0527,+0.1813,0.4866,0.5134,,,
A-unif-s42,uniform,42,Random Fit,0.8613,0.7676,0.5219,0.0322,+0.0937,0.4781,0.5219,,,
A-unif-s42,uniform,42,First Fit,0.8018,0.7685,0.5177,0.0459,+0.0333,0.4823,0.5177,,,
A-unif-s42,uniform,42,Worst Fit,0.7402,0.9248,0.5233,0.0195,-0.1846,0.4767,0.5233,,,
A-unif-s42,uniform,42,Baseline PPO,0.8926,0.7091,0.5191,0.0312,+0.1835,0.4809,0.5191,,,
A-unif-s42,uniform,42,FluxAlloc,0.8643,0.8489,0.5078,0.0205,+0.0153,0.4922,0.5078,,,
A-bim-s42,bimodal,42,Best Fit,0.9824,0.7778,0.3431,0.0039,+0.2046,0.6569,0.3431,,,
A-bim-s42,bimodal,42,Random Fit,0.9697,0.8710,0.3501,0.0039,+0.0988,0.6499,0.3501,,,
A-bim-s42,bimodal,42,First Fit,0.9570,0.8864,0.3417,0.0049,+0.0707,0.6583,0.3417,,,
A-bim-s42,bimodal,42,Worst Fit,0.8877,0.9739,0.3459,0.0029,-0.0862,0.6541,0.3459,,,
A-bim-s42,bimodal,42,Baseline PPO,0.9629,0.7895,0.3417,0.0078,+0.1734,0.6583,0.3417,,,
A-bim-s42,bimodal,42,FluxAlloc,0.9766,0.7500,0.3207,0.0059,+0.2266,0.6793,0.3207,,,
A-bim-10,bimodal,0,Best Fit,0.9512,0.4000,0.2994,0.0293,+0.5512,0.7006,0.2994,,,
A-bim-10,bimodal,0,FluxAlloc,0.8906,0.6429,0.2936,0.0391,+0.2478,0.7064,0.2936,,,
A-bim-10,bimodal,1,Best Fit,0.9541,0.7234,0.3583,0.0127,+0.2307,0.6417,0.3583,,,
A-bim-10,bimodal,1,FluxAlloc,0.9082,0.7128,0.3554,0.0264,+0.1954,0.6446,0.3554,,,
A-bim-10,bimodal,2,Best Fit,0.9688,0.7812,0.3034,0.0068,+0.1875,0.6966,0.3034,,,
A-bim-10,bimodal,2,FluxAlloc,0.9453,0.9107,0.3152,0.0049,+0.0346,0.6848,0.3152,,,
A-bim-10,bimodal,3,Best Fit,0.9844,0.8125,0.3633,0.0029,+0.1719,0.6367,0.3633,,,
A-bim-10,bimodal,3,FluxAlloc,0.9756,0.8400,0.3439,0.0039,+0.1356,0.6561,0.3439,,,
A-bim-10,bimodal,4,Best Fit,0.9658,0.8000,0.3545,0.0068,+0.1658,0.6455,0.3545,,,
A-bim-10,bimodal,4,FluxAlloc,0.9561,0.8889,0.3291,0.0049,+0.0672,0.6709,0.3291,,,
A-bim-10,bimodal,7,Best Fit,0.9883,0.7500,0.3847,0.0029,+0.2383,0.6153,0.3847,,,
A-bim-10,bimodal,7,FluxAlloc,0.9785,0.8636,0.3806,0.0029,+0.1149,0.6194,0.3806,,,
A-bim-10,bimodal,10,Best Fit,0.9619,0.8205,0.3275,0.0068,+0.1414,0.6725,0.3275,,,
A-bim-10,bimodal,10,FluxAlloc,0.9287,0.8493,0.2928,0.0107,+0.0794,0.7072,0.2928,,,
