metric,step,value
rollout/ep_len_mean,2048,1000.0
rollout/ep_len_mean,4096,1000.0
rollout/ep_len_mean,6144,1000.0
rollout/ep_len_mean,8192,1000.0
rollout/ep_len_mean,10240,1000.0
rollout/ep_len_mean,12288,1000.0
rollout/ep_len_mean,14336,1000.0
rollout/ep_len_mean,16384,1000.0
rollout/ep_len_mean,18432,1000.0
rollout/ep_len_mean,20480,1000.0
rollout/ep_len_mean,22528,1000.0
rollout/ep_len_mean,24576,1000.0
rollout/ep_len_mean,26624,1000.0
rollout/ep_len_mean,28672,1000.0
rollout/ep_len_mean,30720,1000.0
rollout/ep_len_mean,32768,1000.0
rollout/ep_len_mean,34816,1000.0
rollout/ep_len_mean,36864,1000.0
rollout/ep_len_mean,38912,1000.0
rollout/ep_len_mean,40960,1000.0
rollout/ep_len_mean,43008,1000.0
rollout/ep_len_mean,45056,1000.0
rollout/ep_len_mean,47104,1000.0
rollout/ep_len_mean,49152,1000.0
rollout/ep_len_mean,51200,1000.0
rollout/ep_len_mean,53248,1000.0
rollout/ep_len_mean,55296,1000.0
rollout/ep_len_mean,57344,1000.0
rollout/ep_len_mean,59392,1000.0
rollout/ep_len_mean,61440,1000.0
rollout/ep_len_mean,63488,1000.0
rollout/ep_len_mean,65536,1000.0
rollout/ep_len_mean,67584,1000.0
rollout/ep_len_mean,69632,1000.0
rollout/ep_len_mean,71680,1000.0
rollout/ep_len_mean,73728,1000.0
rollout/ep_len_mean,75776,1000.0
rollout/ep_len_mean,77824,1000.0
rollout/ep_len_mean,79872,1000.0
rollout/ep_len_mean,81920,1000.0
rollout/ep_len_mean,83968,1000.0
rollout/ep_len_mean,86016,1000.0
rollout/ep_len_mean,88064,1000.0
rollout/ep_len_mean,90112,1000.0
rollout/ep_len_mean,92160,1000.0
rollout/ep_len_mean,94208,1000.0
rollout/ep_len_mean,96256,1000.0
rollout/ep_len_mean,98304,1000.0
rollout/ep_len_mean,100352,1000.0
rollout/ep_len_mean,102400,1000.0
rollout/ep_len_mean,104448,1000.0
rollout/ep_len_mean,106496,1000.0
rollout/ep_len_mean,108544,1000.0
rollout/ep_len_mean,110592,1000.0
rollout/ep_len_mean,112640,1000.0
rollout/ep_len_mean,114688,1000.0
rollout/ep_len_mean,116736,1000.0
rollout/ep_len_mean,118784,1000.0
rollout/ep_len_mean,120832,1000.0
rollout/ep_len_mean,122880,1000.0
rollout/ep_len_mean,124928,1000.0
rollout/ep_len_mean,126976,1000.0
rollout/ep_len_mean,129024,1000.0
rollout/ep_len_mean,131072,1000.0
rollout/ep_len_mean,133120,1000.0
rollout/ep_len_mean,135168,1000.0
rollout/ep_len_mean,137216,1000.0
rollout/ep_len_mean,139264,1000.0
rollout/ep_len_mean,141312,1000.0
rollout/ep_len_mean,143360,1000.0
rollout/ep_len_mean,145408,1000.0
rollout/ep_len_mean,147456,1000.0
rollout/ep_len_mean,149504,1000.0
rollout/ep_len_mean,151552,1000.0
rollout/ep_len_mean,153600,1000.0
rollout/ep_len_mean,155648,1000.0
rollout/ep_len_mean,157696,1000.0
rollout/ep_len_mean,159744,1000.0
rollout/ep_len_mean,161792,1000.0
rollout/ep_len_mean,163840,1000.0
rollout/ep_len_mean,165888,1000.0
rollout/ep_len_mean,167936,1000.0
rollout/ep_len_mean,169984,1000.0
rollout/ep_len_mean,172032,1000.0
rollout/ep_len_mean,174080,1000.0
rollout/ep_len_mean,176128,1000.0
rollout/ep_len_mean,178176,1000.0
rollout/ep_len_mean,180224,1000.0
rollout/ep_len_mean,182272,1000.0
rollout/ep_len_mean,184320,1000.0
rollout/ep_len_mean,186368,1000.0
rollout/ep_len_mean,188416,1000.0
rollout/ep_len_mean,190464,1000.0
rollout/ep_len_mean,192512,1000.0
rollout/ep_len_mean,194560,1000.0
rollout/ep_len_mean,196608,1000.0
rollout/ep_len_mean,198656,1000.0
rollout/ep_len_mean,200704,1000.0
rollout/ep_rew_mean,2048,-597.6087036132812
rollout/ep_rew_mean,4096,-605.4451904296875
rollout/ep_rew_mean,6144,-610.3193969726562
rollout/ep_rew_mean,8192,-619.5772094726562
rollout/ep_rew_mean,10240,-613.2491455078125
rollout/ep_rew_mean,12288,-605.3526000976562
rollout/ep_rew_mean,14336,-608.40673828125
rollout/ep_rew_mean,16384,-614.9990844726562
rollout/ep_rew_mean,18432,-617.8379516601562
rollout/ep_rew_mean,20480,-624.8710327148438
rollout/ep_rew_mean,22528,-626.584228515625
rollout/ep_rew_mean,24576,-625.2564697265625
rollout/ep_rew_mean,26624,-629.68408203125
rollout/ep_rew_mean,28672,-628.4970092773438
rollout/ep_rew_mean,30720,-625.845458984375
rollout/ep_rew_mean,32768,-624.2642211914062
rollout/ep_rew_mean,34816,-627.8366088867188
rollout/ep_rew_mean,36864,-625.4760131835938
rollout/ep_rew_mean,38912,-623.9453735351562
rollout/ep_rew_mean,40960,-622.1505737304688
rollout/ep_rew_mean,43008,-621.9364013671875
rollout/ep_rew_mean,45056,-623.1707763671875
rollout/ep_rew_mean,47104,-622.8063354492188
rollout/ep_rew_mean,49152,-622.5387573242188
rollout/ep_rew_mean,51200,-621.8950805664062
rollout/ep_rew_mean,53248,-621.0325317382812
rollout/ep_rew_mean,55296,-620.6414794921875
rollout/ep_rew_mean,57344,-616.6401977539062
rollout/ep_rew_mean,59392,-614.5789184570312
rollout/ep_rew_mean,61440,-612.6744384765625
rollout/ep_rew_mean,63488,-611.7108764648438
rollout/ep_rew_mean,65536,-611.2610473632812
rollout/ep_rew_mean,67584,-611.0850219726562
rollout/ep_rew_mean,69632,-610.1652221679688
rollout/ep_rew_mean,71680,-608.5189819335938
rollout/ep_rew_mean,73728,-609.058349609375
rollout/ep_rew_mean,75776,-607.9737548828125
rollout/ep_rew_mean,77824,-607.9000854492188
rollout/ep_rew_mean,79872,-607.2600708007812
rollout/ep_rew_mean,81920,-606.2977294921875
rollout/ep_rew_mean,83968,-604.5286254882812
rollout/ep_rew_mean,86016,-602.28173828125
rollout/ep_rew_mean,88064,-600.7821044921875
rollout/ep_rew_mean,90112,-599.6543579101562
rollout/ep_rew_mean,92160,-598.9547119140625
rollout/ep_rew_mean,94208,-598.4454345703125
rollout/ep_rew_mean,96256,-598.6906127929688
rollout/ep_rew_mean,98304,-597.9386596679688
rollout/ep_rew_mean,100352,-596.80712890625
rollout/ep_rew_mean,102400,-596.461669921875
rollout/ep_rew_mean,104448,-595.4657592773438
rollout/ep_rew_mean,106496,-595.6956787109375
rollout/ep_rew_mean,108544,-594.5326538085938
rollout/ep_rew_mean,110592,-594.8146362304688
rollout/ep_rew_mean,112640,-595.2522583007812
rollout/ep_rew_mean,114688,-594.4226684570312
rollout/ep_rew_mean,116736,-590.9788208007812
rollout/ep_rew_mean,118784,-589.4757690429688
rollout/ep_rew_mean,120832,-587.14306640625
rollout/ep_rew_mean,122880,-584.5097045898438
rollout/ep_rew_mean,124928,-585.06103515625
rollout/ep_rew_mean,126976,-581.79345703125
rollout/ep_rew_mean,129024,-580.2232666015625
rollout/ep_rew_mean,131072,-579.4785766601562
rollout/ep_rew_mean,133120,-577.9788208007812
rollout/ep_rew_mean,135168,-576.7943115234375
rollout/ep_rew_mean,137216,-576.4434814453125
rollout/ep_rew_mean,139264,-576.3045654296875
rollout/ep_rew_mean,141312,-574.9635620117188
rollout/ep_rew_mean,143360,-574.1852416992188
rollout/ep_rew_mean,145408,-570.911376953125
rollout/ep_rew_mean,147456,-571.1696166992188
rollout/ep_rew_mean,149504,-571.2333374023438
rollout/ep_rew_mean,151552,-570.2739868164062
rollout/ep_rew_mean,153600,-569.4949951171875
rollout/ep_rew_mean,155648,-569.3511352539062
rollout/ep_rew_mean,157696,-569.5404052734375
rollout/ep_rew_mean,159744,-570.1221923828125
rollout/ep_rew_mean,161792,-569.737060546875
rollout/ep_rew_mean,163840,-570.1270141601562
rollout/ep_rew_mean,165888,-569.2650146484375
rollout/ep_rew_mean,167936,-569.06494140625
rollout/ep_rew_mean,169984,-568.0992431640625
rollout/ep_rew_mean,172032,-567.5811157226562
rollout/ep_rew_mean,174080,-567.76025390625
rollout/ep_rew_mean,176128,-565.9723510742188
rollout/ep_rew_mean,178176,-565.0938720703125
rollout/ep_rew_mean,180224,-565.8565673828125
rollout/ep_rew_mean,182272,-565.123291015625
rollout/ep_rew_mean,184320,-565.7589721679688
rollout/ep_rew_mean,186368,-566.1215209960938
rollout/ep_rew_mean,188416,-567.8585815429688
rollout/ep_rew_mean,190464,-569.0609741210938
rollout/ep_rew_mean,192512,-569.2162475585938
rollout/ep_rew_mean,194560,-569.7766723632812
rollout/ep_rew_mean,196608,-567.5482788085938
rollout/ep_rew_mean,198656,-566.5792236328125
rollout/ep_rew_mean,200704,-566.3436889648438
time/fps,2048,425.0
time/fps,4096,344.0
time/fps,6144,306.0
time/fps,8192,285.0
time/fps,10240,292.0
time/fps,12288,304.0
time/fps,14336,312.0
time/fps,16384,318.0
time/fps,18432,323.0
time/fps,20480,327.0
time/fps,22528,330.0
time/fps,24576,332.0
time/fps,26624,332.0
time/fps,28672,332.0
time/fps,30720,333.0
time/fps,32768,336.0
time/fps,34816,337.0
time/fps,36864,340.0
time/fps,38912,342.0
time/fps,40960,344.0
time/fps,43008,345.0
time/fps,45056,347.0
time/fps,47104,348.0
time/fps,49152,349.0
time/fps,51200,350.0
time/fps,53248,349.0
time/fps,55296,349.0
time/fps,57344,350.0
time/fps,59392,351.0
time/fps,61440,352.0
time/fps,63488,352.0
time/fps,65536,354.0
time/fps,67584,354.0
time/fps,69632,355.0
time/fps,71680,356.0
time/fps,73728,357.0
time/fps,75776,357.0
time/fps,77824,358.0
time/fps,79872,359.0
time/fps,81920,359.0
time/fps,83968,360.0
time/fps,86016,361.0
time/fps,88064,362.0
time/fps,90112,363.0
time/fps,92160,363.0
time/fps,94208,363.0
time/fps,96256,363.0
time/fps,98304,363.0
time/fps,100352,363.0
time/fps,102400,363.0
time/fps,104448,362.0
time/fps,106496,362.0
time/fps,108544,362.0
time/fps,110592,361.0
time/fps,112640,360.0
time/fps,114688,360.0
time/fps,116736,361.0
time/fps,118784,361.0
time/fps,120832,361.0
time/fps,122880,361.0
time/fps,124928,361.0
time/fps,126976,361.0
time/fps,129024,362.0
time/fps,131072,362.0
time/fps,133120,362.0
time/fps,135168,362.0
time/fps,137216,363.0
time/fps,139264,363.0
time/fps,141312,363.0
time/fps,143360,363.0
time/fps,145408,363.0
time/fps,147456,363.0
time/fps,149504,363.0
time/fps,151552,362.0
time/fps,153600,361.0
time/fps,155648,358.0
time/fps,157696,357.0
time/fps,159744,357.0
time/fps,161792,356.0
time/fps,163840,356.0
time/fps,165888,354.0
time/fps,167936,340.0
time/fps,169984,326.0
time/fps,172032,314.0
time/fps,174080,306.0
time/fps,176128,296.0
time/fps,178176,288.0
time/fps,180224,279.0
time/fps,182272,271.0
time/fps,184320,264.0
time/fps,186368,257.0
time/fps,188416,251.0
time/fps,190464,246.0
time/fps,192512,241.0
time/fps,194560,235.0
time/fps,196608,229.0
time/fps,198656,224.0
time/fps,200704,219.0
train/approx_kl,4096,0.002759832888841629
train/approx_kl,6144,0.008465759456157684
train/approx_kl,8192,0.010488379746675491
train/approx_kl,10240,0.012040614150464535
train/approx_kl,12288,0.005572558846324682
train/approx_kl,14336,0.013744731433689594
train/approx_kl,16384,0.01092878170311451
train/approx_kl,18432,0.011396785266697407
train/approx_kl,20480,0.010848145000636578
train/approx_kl,22528,0.01249006949365139
train/approx_kl,24576,0.012639139778912067
train/approx_kl,26624,0.01198261883109808
train/approx_kl,28672,0.005318326875567436
train/approx_kl,30720,0.002335973083972931
train/approx_kl,32768,0.0065470426343381405
train/approx_kl,34816,0.005704259499907494
train/approx_kl,36864,0.008769197389483452
train/approx_kl,38912,0.008869163691997528
train/approx_kl,40960,0.0067747728899121284
train/approx_kl,43008,0.010137666948139668
train/approx_kl,45056,0.0045995041728019714
train/approx_kl,47104,0.009061161428689957
train/approx_kl,49152,0.005195997655391693
train/approx_kl,51200,0.007325556129217148
train/approx_kl,53248,0.006747182924300432
train/approx_kl,55296,0.005331848748028278
train/approx_kl,57344,0.007128623314201832
train/approx_kl,59392,0.009528269991278648
train/approx_kl,61440,0.007300232071429491
train/approx_kl,63488,0.002594203921034932
train/approx_kl,65536,0.003086633514612913
train/approx_kl,67584,0.003548827487975359
train/approx_kl,69632,0.007325494661927223
train/approx_kl,71680,0.005442226305603981
train/approx_kl,73728,0.006211850326508284
train/approx_kl,75776,0.008343076333403587
train/approx_kl,77824,0.008659616112709045
train/approx_kl,79872,0.0030181158799678087
train/approx_kl,81920,0.002442917786538601
train/approx_kl,83968,0.00033420929685235023
train/approx_kl,86016,0.0006713387556374073
train/approx_kl,88064,0.002293770434334874
train/approx_kl,90112,0.0027874219231307507
train/approx_kl,92160,0.005597446113824844
train/approx_kl,94208,0.0042419773526489735
train/approx_kl,96256,0.006072334013879299
train/approx_kl,98304,0.003639242146164179
train/approx_kl,100352,0.002348526380956173
train/approx_kl,102400,0.006297053769230843
train/approx_kl,104448,0.004048846662044525
train/approx_kl,106496,0.00827447883784771
train/approx_kl,108544,0.006056821905076504
train/approx_kl,110592,0.005358568858355284
train/approx_kl,112640,0.012287979945540428
train/approx_kl,114688,0.002853602636605501
train/approx_kl,116736,0.0036129727959632874
train/approx_kl,118784,0.008060596883296967
train/approx_kl,120832,0.005594105459749699
train/approx_kl,122880,0.002156791277229786
train/approx_kl,124928,0.0017157167894765735
train/approx_kl,126976,0.00141883734613657
train/approx_kl,129024,0.002696752082556486
train/approx_kl,131072,0.0010179453529417515
train/approx_kl,133120,0.005730947945266962
train/approx_kl,135168,0.005188788753002882
train/approx_kl,137216,0.002426457591354847
train/approx_kl,139264,0.0025147907435894012
train/approx_kl,141312,0.003488195827230811
train/approx_kl,143360,0.0032415275927633047
train/approx_kl,145408,0.0007168741431087255
train/approx_kl,147456,0.002550053410232067
train/approx_kl,149504,0.001841212622821331
train/approx_kl,151552,0.0012589417165145278
train/approx_kl,153600,0.00244048610329628
train/approx_kl,155648,0.002523035043850541
train/approx_kl,157696,6.330633186735213e-05
train/approx_kl,159744,0.0016994440229609609
train/approx_kl,161792,0.0012936615385115147
train/approx_kl,163840,0.0008144513703882694
train/approx_kl,165888,0.0008672932162880898
train/approx_kl,167936,0.00038544615381397307
train/approx_kl,169984,0.0011479139793664217
train/approx_kl,172032,0.0003097884473390877
train/approx_kl,174080,0.0005621380405500531
train/approx_kl,176128,0.00031064555514603853
train/approx_kl,178176,0.0001996183127630502
train/approx_kl,180224,0.00040208949940279126
train/approx_kl,182272,0.0006110552349127829
train/approx_kl,184320,0.0008646290516480803
train/approx_kl,186368,0.00037745898589491844
train/approx_kl,188416,8.305211667902768e-05
train/approx_kl,190464,0.0003719521046150476
train/approx_kl,192512,0.0006056117126718163
train/approx_kl,194560,0.0005089707556180656
train/approx_kl,196608,0.00026851141592487693
train/approx_kl,198656,0.0003734242054633796
train/approx_kl,200704,0.00033556841663084924
train/clip_fraction,4096,0.0
train/clip_fraction,6144,0.0234375
train/clip_fraction,8192,0.01528320275247097
train/clip_fraction,10240,0.0400390625
train/clip_fraction,12288,0.076416015625
train/clip_fraction,14336,0.03564453125
train/clip_fraction,16384,0.08486328274011612
train/clip_fraction,18432,0.04130859300494194
train/clip_fraction,20480,0.06049804762005806
train/clip_fraction,22528,0.052001953125
train/clip_fraction,24576,0.01162109337747097
train/clip_fraction,26624,0.05288086086511612
train/clip_fraction,28672,0.02036132849752903
train/clip_fraction,30720,0.0
train/clip_fraction,32768,0.02739257737994194
train/clip_fraction,34816,0.0
train/clip_fraction,36864,0.02143554762005806
train/clip_fraction,38912,0.06992187350988388
train/clip_fraction,40960,0.03969726711511612
train/clip_fraction,43008,0.02597656287252903
train/clip_fraction,45056,0.011669921688735485
train/clip_fraction,47104,0.09306640923023224
train/clip_fraction,49152,0.004101562313735485
train/clip_fraction,51200,0.01567382737994194
train/clip_fraction,53248,0.012158202938735485
train/clip_fraction,55296,0.02529296837747097
train/clip_fraction,57344,0.03530273586511612
train/clip_fraction,59392,0.06533203274011612
train/clip_fraction,61440,0.06513671576976776
train/clip_fraction,63488,0.01606445387005806
train/clip_fraction,65536,0.00732421875
train/clip_fraction,67584,0.01787109300494194
train/clip_fraction,69632,0.05747070163488388
train/clip_fraction,71680,0.016357421875
train/clip_fraction,73728,0.07016601413488388
train/clip_fraction,75776,0.02714843675494194
train/clip_fraction,77824,0.04643554612994194
train/clip_fraction,79872,0.012988281436264515
train/clip_fraction,81920,0.03652343899011612
train/clip_fraction,83968,0.003173828125
train/clip_fraction,86016,0.005664062686264515
train/clip_fraction,88064,0.01040039025247097
train/clip_fraction,90112,0.013720703311264515
train/clip_fraction,92160,0.016845703125
train/clip_fraction,94208,0.02099609375
train/clip_fraction,96256,0.03691406175494194
train/clip_fraction,98304,0.055908203125
train/clip_fraction,100352,0.01401367224752903
train/clip_fraction,102400,0.03720702975988388
train/clip_fraction,104448,0.02734375
train/clip_fraction,106496,0.023193359375
train/clip_fraction,108544,0.05341796949505806
train/clip_fraction,110592,0.02963867224752903
train/clip_fraction,112640,0.03950195387005806
train/clip_fraction,114688,0.04023437574505806
train/clip_fraction,116736,0.055908203125
train/clip_fraction,118784,0.04018554836511612
train/clip_fraction,120832,0.02788085862994194
train/clip_fraction,122880,0.02705078199505806
train/clip_fraction,124928,0.02592773362994194
train/clip_fraction,126976,0.02592773362994194
train/clip_fraction,129024,0.04013671725988388
train/clip_fraction,131072,0.01352539099752903
train/clip_fraction,133120,0.06796874850988388
train/clip_fraction,135168,0.06406249850988388
train/clip_fraction,137216,0.012500000186264515
train/clip_fraction,139264,0.04438476637005806
train/clip_fraction,141312,0.010205077938735485
train/clip_fraction,143360,0.02495117112994194
train/clip_fraction,145408,0.01254882849752903
train/clip_fraction,147456,0.01679687574505806
train/clip_fraction,149504,0.01826171949505806
train/clip_fraction,151552,0.01708984375
train/clip_fraction,153600,0.03217773512005806
train/clip_fraction,155648,0.03105468675494194
train/clip_fraction,157696,0.0035644532181322575
train/clip_fraction,159744,0.03261718899011612
train/clip_fraction,161792,0.01987304724752903
train/clip_fraction,163840,0.0044921874068677425
train/clip_fraction,165888,0.006152343936264515
train/clip_fraction,167936,0.0042480467818677425
train/clip_fraction,169984,0.01894531212747097
train/clip_fraction,172032,0.006152343936264515
train/clip_fraction,174080,0.0040527344681322575
train/clip_fraction,176128,0.0006835937383584678
train/clip_fraction,178176,0.012402343563735485
train/clip_fraction,180224,0.006542968563735485
train/clip_fraction,182272,0.010693359188735485
train/clip_fraction,184320,0.013964843936264515
train/clip_fraction,186368,0.01040039025247097
train/clip_fraction,188416,0.004638671875
train/clip_fraction,190464,0.005419922061264515
train/clip_fraction,192512,0.011425781063735485
train/clip_fraction,194560,0.005810546688735485
train/clip_fraction,196608,0.0021484375465661287
train/clip_fraction,198656,0.009472656063735485
train/clip_fraction,200704,0.0042968750931322575
train/clip_range,4096,0.20000000298023224
train/clip_range,6144,0.20000000298023224
train/clip_range,8192,0.20000000298023224
train/clip_range,10240,0.20000000298023224
train/clip_range,12288,0.20000000298023224
train/clip_range,14336,0.20000000298023224
train/clip_range,16384,0.20000000298023224
train/clip_range,18432,0.20000000298023224
train/clip_range,20480,0.20000000298023224
train/clip_range,22528,0.20000000298023224
train/clip_range,24576,0.20000000298023224
train/clip_range,26624,0.20000000298023224
train/clip_range,28672,0.20000000298023224
train/clip_range,30720,0.20000000298023224
train/clip_range,32768,0.20000000298023224
train/clip_range,34816,0.20000000298023224
train/clip_range,36864,0.20000000298023224
train/clip_range,38912,0.20000000298023224
train/clip_range,40960,0.20000000298023224
train/clip_range,43008,0.20000000298023224
train/clip_range,45056,0.20000000298023224
train/clip_range,47104,0.20000000298023224
train/clip_range,49152,0.20000000298023224
train/clip_range,51200,0.20000000298023224
train/clip_range,53248,0.20000000298023224
train/clip_range,55296,0.20000000298023224
train/clip_range,57344,0.20000000298023224
train/clip_range,59392,0.20000000298023224
train/clip_range,61440,0.20000000298023224
train/clip_range,63488,0.20000000298023224
train/clip_range,65536,0.20000000298023224
train/clip_range,67584,0.20000000298023224
train/clip_range,69632,0.20000000298023224
train/clip_range,71680,0.20000000298023224
train/clip_range,73728,0.20000000298023224
train/clip_range,75776,0.20000000298023224
train/clip_range,77824,0.20000000298023224
train/clip_range,79872,0.20000000298023224
train/clip_range,81920,0.20000000298023224
train/clip_range,83968,0.20000000298023224
train/clip_range,86016,0.20000000298023224
train/clip_range,88064,0.20000000298023224
train/clip_range,90112,0.20000000298023224
